request_id,timestamp_utc,provider_name,model,prompt_tokens,completion_tokens,total_tokens,latency_ms,estimated_cost_usd
af0a4499-4a96-4858-9dae-29b6cebdb3b3,2026-05-17T21:21:18.810166+00:00,openai,gpt-4.1-mini,467,84,551,4857.52,0.0
b6888132-1019-4280-88a1-0117558321b3,2026-05-17T21:24:19.581379+00:00,openai,gpt-4.1-mini,467,84,551,4156.73,0.0
d42b3fec-e346-4218-91be-9bf39ab5c763,2026-05-17T21:24:26.205567+00:00,openai,gpt-4.1-mini,466,88,554,2035.83,0.0
4cad5ce1-12ae-4275-a960-23f948d3294d,2026-05-17T21:24:41.263742+00:00,openai,gpt-4.1-mini,468,78,546,2352.99,0.0
61edec8f-1f0a-4484-b850-de82a0621bd6,2026-05-17T21:36:38.362278+00:00,openai,gpt-4.1-mini,467,58,525,5265.78,0.00028
376bb415-e6e2-4875-9647-acb0b1ea25a8,2026-05-17T21:37:08.832321+00:00,openai,gpt-4.1-mini,467,89,556,2076.9,0.000329
1bd7f5ee-c83c-4f62-b773-5030652d9f6f,2026-05-17T21:38:15.541438+00:00,openai,gpt-4.1-mini,465,60,525,3434.76,0.000282
716e12c0-23c1-481c-a688-aed044c04014,2026-05-18T21:10:14.538491+00:00,openai,gpt-4.1-mini,464,68,532,5252.32,0.000294
ec69c993-ac01-422b-a4c2-7bbd9b279f42,2026-05-18T21:11:54.515505+00:00,openai,gpt-4.1-mini,468,74,542,5253.75,0.000306
683128bc-8351-44f7-94be-647e7a662630,2026-05-18T21:49:05.950512+00:00,openai,gpt-4.1,464,58,522,2705.54,0.001392
